model_label,mean_threshold_collapse,median_threshold_collapse,mean_nearest_threshold_distance,n_units
XGB threshold,0.952443555367922,0.9784520668425682,0.014090446930268681,128
XGB drop,0.927555537550752,0.9681005086924925,0.019962335272066336,128
Uniform null,0.6513356547958417,0.654291208863335,0.06032918378450532,128
XGB-AFT,0.4544578329833229,0.4035980385155562,0.40404701432192597,128
