prior_definition,excluded_native_receptors,native_union_size,gnina_ef1,coupled_ef1,delta_ef1,delta_ci_lo,delta_ci_hi,bootstrap_fraction_positive,roc_auc,ef5,bedroc
primary_union_recall,,38,11.601735474348079,14.97678579415843,3.3750503198103505,0.4218812899762944,5.695397414679967,0.988,0.7665237069168163,7.2563581875922525,0.26543072164563625
1fin_atp_excluded,1fin_a_atp,34,11.601735474348079,14.13302321420584,2.5312877398577616,-0.21094064498814724,5.062575479715525,0.963,0.7661436537336358,7.087605671601735,0.25956914690273963
exact_overlap_inhibitors_excluded,2a4l_a_rrc;1aq1_a_stu,30,11.601735474348079,14.97678579415843,3.3750503198103505,0.63282193496444,6.117278704656261,0.991,0.7661025546064842,7.171981929596994,0.26483555154332117
all_atp_complexes_excluded,1fin_a_atp,34,11.601735474348079,14.13302321420584,2.5312877398577616,-0.21094064498814724,5.062575479715525,0.963,0.7661436537336358,7.087605671601735,0.25956914690273963
