target,target_receptor_id,status,error_type,n_rows
EGFR,1m17_a_aq4_999,ok,,35552
EGFR,1xkk_a_fmm_91,ok,,35552
EGFR,4hjo_a_aq4_1001,ok,,35552
EGFR,5cav_a_4zq_1101,ok,,35552
