zinc_id,target_receptor_id,docking_score,cnnscore,cnnaffinity,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,cnn_top_decile_threshold,recall_median_threshold,passes_gate
20866317,4hjo_a_aq4_1001,-9.432,0.90264,7.37157,0.25,22,1.1283,Cc1nn(CCCC(=O)N2CCC3(CC2)OCCO3)c(=O)c2cc3occc3n12,400.4,1.7,0,6,4,91.2,3,0.662,O=C(CCCn1ncn2c(cc3occc32)c1=O)N1CCC2(CC1)OCCO2,0.7065239999999998,0.25,True
1772819058,4hjo_a_aq4_1001,-8.75,0.88294,8.14132,0.27631578947368424,27,1.1269102631578947,CCCn1ncc(CN2C[C@@H]3CN(c4nc(N)nc(C)c4Cl)C[C@]3(CO)C2)c1C,420.0,1.87,2,7,6,96.3,4,0.737,c1cc(N2CC3CN(Cc4cn[nH]c4)CC3C2)ncn1,0.7065239999999998,0.25,True
1051931,4hjo_a_aq4_1001,-9.327,0.89209,7.1503,0.2631578947368421,27,1.1268505263157895,CCN(C(=O)CSc1nc2c(c(=O)n(C)c(=O)n2C)n1CC)c1ccccc1,401.5,1.6,0,5,6,82.1,4,0.586,O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)Nc1ccccc1,0.7065239999999998,0.25,True
14535898,1xkk_a_fmm_91,-8.818,0.88754,8.04079,0.2631578947368421,23,1.1211031578947368,NC(=O)CN1C(=O)N(CCc2ccccc2)C2(CCN(Cc3ccncc3)CC2)C1=O,421.5,1.41,1,5,7,99.8,1,0.682,O=C1NC(=O)C2(CCN(Cc3ccncc3)CC2)N1CCc1ccccc1,0.7065239999999998,0.25,True
12135598,4hjo_a_aq4_1001,-9.999,0.89461,7.57853,0.25,24,1.1182625,COc1cccc(N2C(=O)CN(C(=O)Cn3cnc4ccccc4c3=O)C[C@@H]2C)c1,406.4,1.67,0,5,4,84.7,2,0.658,O=C(Cn1cnc2ccccc2c1=O)N1CCN(c2ccccc2)C(=O)C1,0.7065239999999998,0.25,True
13370172,5cav_a_4zq_1101,-7.23,0.84987,7.13916,0.3157894736842105,28,1.1182500000000002,CCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C[C@@H](O)COc1ccccc1C,404.5,1.67,2,6,8,102.1,4,0.554,O=c1[nH]c(=O)c2c(ncn2CCCOc2ccccc2)[nH]1,0.7065239999999998,0.25,True
10969893,5cav_a_4zq_1101,-7.48,0.88239,6.74679,0.2631578947368421,21,1.114597894736842,COc1ccc(Br)cc1-c1nnc2n(C)c3c(=O)[nH]c(=O)n(C)c3n12,405.2,1.05,1,5,2,99.2,6,0.538,O=c1[nH]c(=O)c2[nH]c3nnc(-c4ccccc4)n3c2[nH]1,0.7065239999999998,0.25,True
2382404070,1xkk_a_fmm_91,-11.099,0.83777,7.7943,0.3157894736842105,25,1.1023289473684212,C[C@@H](C(=O)N1CCc2c(C(=O)N3CCc4ccccc4C3)n[nH]c2C1)n1cncn1,405.5,1.35,1,5,3,100.0,5,0.709,O=C(Cn1cncn1)N1CCc2c(C(=O)N3CCc4ccccc4C3)n[nH]c2C1,0.7065239999999998,0.25,True
2386273460,1xkk_a_fmm_91,-10.459,0.88151,7.76084,0.25,23,1.1018875000000001,O=C1NCCc2c1nc(-c1ccccc1)nc2N1CCC[C@H](CN2CCOCC2)C1,407.5,1.98,1,6,4,70.6,2,0.836,O=C1NCCc2c1nc(-c1ccccc1)nc2N1CCCC(CN2CCOCC2)C1,0.7065239999999998,0.25,True
1704280594,1xkk_a_fmm_91,-8.539,0.82675,7.6352,0.32894736842105265,26,1.0987072368421054,Cc1cccc(N(CC(=O)N[C@H]2COC[C@H]2Cc2ccncc2)S(C)(=O)=O)c1,403.5,1.53,1,5,7,88.6,1,0.757,O=C(CNc1ccccc1)NC1COCC1Cc1ccncc1,0.7065239999999998,0.25,True
