target,arm,n_ligands,top_fraction,cutoff_n,boundary_score,n_strictly_above_boundary,boundary_tie_size,boundary_tie_active_count,stable_order_ef1,fractional_tie_ef1,random_tie_ef1_min,random_tie_ef1_max
EGFR,gnina,35552,0.01,356,0.91072,355,1,0,11.792197023093825,11.792197023093825,11.792197023093825,11.792197023093825
EGFR,coupled,35552,0.01,356,1.2105183870967742,355,1,0,16.39852398523985,16.39852398523985,16.39852398523985,16.39852398523985
CDK2,gnina,28296,0.01,283,0.93994,282,2,0,10.968913539383639,10.968913539383639,10.968913539383639,10.968913539383639
CDK2,coupled,28296,0.01,283,1.3674414893617022,282,1,0,13.078319989265108,13.078319989265108,13.078319989265108,13.078319989265108
