target,prior_definition,excluded_native_receptor,roc_auc,ef1,ef5,bedroc
EGFR,global_union_recall,,0.7718443913230906,16.39852398523985,7.7473341662550474,0.28210063270256386
EGFR,60pct_core_recall,,0.7749940712774737,17.13553629918322,7.9686865710051915,0.28428060513314246
EGFR,frequency_weighted_recall,,0.7728135398320565,16.582777063725693,7.9317945035468345,0.28724937841843934
EGFR,global_union_jaccard,,0.7712278568801112,16.030017828268168,7.7473341662550474,0.2795983985614028
EGFR,receptor_specific_or_global_union_recall,,0.7724191875594848,16.951283220697377,7.673550031338333,0.28299756534097326
EGFR,leave_one_native_out_union_recall,1m17_a_aq4_999,0.771393518562435,16.030017828268168,7.636657963879975,0.275602884642814
EGFR,leave_one_native_out_union_recall,1xkk_a_fmm_91,0.771976377861465,15.293005514324804,7.821118301171763,0.25852159395595425
EGFR,leave_one_native_out_union_recall,4hjo_a_aq4_1001,0.7717336691361772,16.21427090675401,7.7473341662550474,0.28090334998915706
EGFR,leave_one_native_out_union_recall,5cav_a_4zq_1101,0.7729033929156772,17.319789377669057,7.821118301171763,0.2978796206566876
EGFR,all_exact_overlap_natives_excluded_union_recall,1xkk_a_fmm_91,0.771976377861465,15.293005514324804,7.821118301171763,0.25852159395595425
