target,arm,metric,estimate,ci_lo,ci_hi,n_bootstrap
CDK2,gnina,roc_auc,0.7615001348233359,0.7347921769934669,0.7865869965394838,2000
CDK2,gnina,ef1,11.60173547434808,9.281388379478464,14.343963859193988,2000
CDK2,gnina,ef5,6.876665026613589,6.032902446661001,7.678239477568546,2000
CDK2,gnina,bedroc_80_5,0.2361815138347693,0.1995308675381184,0.2728119036533232,2000
CDK2,late_fusion,roc_auc,0.768648387716123,0.7419863014789316,0.7941064913265676,2000
CDK2,late_fusion,ef1,16.453370309075456,13.289260634253251,19.195598693921365,2000
CDK2,late_fusion,ef5,7.636051348570917,6.7501006396207,8.437625799525875,2000
CDK2,late_fusion,bedroc_80_5,0.2946449171064793,0.2540995533906371,0.3342189802692349,2000
CDK2,coupled,roc_auc,0.7665237069168163,0.7401050789800865,0.7918353019966896,2000
CDK2,coupled,ef1,14.97678579415843,11.812676119336224,17.50807353401619,2000
CDK2,coupled,ef5,7.2563581875922525,6.369352775417096,8.05793263854721,2000
CDK2,coupled,bedroc_80_5,0.2654307216456362,0.2271192567904266,0.3053054068262679,2000
