ligand_stem,target_receptor_id,docking_score,docked_flag,lit_pcba_id_x,label_x,activity_x,cnnscore,cnnaffinity,gnina_empirical_affinity,rescore_status,zinc_id,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,lit_pcba_id_y,label_y,activity_y,cnn_top_decile_threshold,recall_median_threshold,passes_gate
77486821,1m17_a_aq4_999,-8.043,True,77486821,-1,prospective,0.90962,7.23201,-8.20825,success,77486821,0.3225806451612903,29,1.2030458064516127,Cc1cn2cc(CNC(=O)c3ccc(CN4CCC[C@@H]4CCO)[nH]c3=O)nc2s1,415.5,1.67,3,6,7,102.7,3,0.545,O=C(NCc1cn2ccsc2n1)c1ccc(CN2CCCC2)[nH]c1=O,77486821,-1,prospective,0.6868879999999999,0.2903225806451613,True
2386269815,1xkk_a_fmm_91,-9.604,True,2386269815,-1,prospective,0.85569,7.79944,-9.18828,success,2386269815,0.3870967741935484,27,1.1869248387096774,CN(C)C[C@H]1COCCN(c2nc(CCc3ccccc3)nc3c2CCNC3=O)C1,409.5,1.56,1,6,6,70.6,2,0.781,O=C1NCCc2c1nc(CCc1ccccc1)nc2N1CCCOCC1,2386269815,-1,prospective,0.6868879999999999,0.2903225806451613,True
11791488,1xkk_a_fmm_91,-9.257,True,11791488,-1,prospective,0.8644,7.91285,-9.27002,success,11791488,0.3709677419354839,29,1.1850645161290323,C[C@@H](NC(=O)COc1ccccc1)c1nnc2n1CCN(Cc1ccccn1)CC2,406.5,1.99,1,6,7,85.2,4,0.646,O=C(COc1ccccc1)NCc1nnc2n1CCN(Cc1ccccn1)CC2,11791488,-1,prospective,0.6868879999999999,0.2903225806451613,True
1051931,4hjo_a_aq4_1001,-9.327,True,1051931,-1,prospective,0.89209,7.1503,-9.33146,success,1051931,0.3225806451612903,27,1.1798609677419354,CCN(C(=O)CSc1nc2c(c(=O)n(C)c(=O)n2C)n1CC)c1ccccc1,401.5,1.6,0,5,6,82.1,4,0.586,O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)Nc1ccccc1,1051931,-1,prospective,0.6868879999999999,0.2903225806451613,True
20866317,4hjo_a_aq4_1001,-9.432,True,20866317,-1,prospective,0.90264,7.37157,-9.43181,success,20866317,0.3064516129032258,22,1.1792554838709677,Cc1nn(CCCC(=O)N2CCC3(CC2)OCCO3)c(=O)c2cc3occc3n12,400.4,1.7,0,6,4,91.2,3,0.662,O=C(CCCn1ncn2c(cc3occc32)c1=O)N1CCC2(CC1)OCCO2,20866317,-1,prospective,0.6868879999999999,0.2903225806451613,True
14535898,1xkk_a_fmm_91,-8.818,True,14535898,-1,prospective,0.88754,8.04079,-8.81977,success,14535898,0.3225806451612903,23,1.1738432258064515,NC(=O)CN1C(=O)N(CCc2ccccc2)C2(CCN(Cc3ccncc3)CC2)C1=O,421.5,1.41,1,5,7,99.8,1,0.682,O=C1NC(=O)C2(CCN(Cc3ccncc3)CC2)N1CCc1ccccc1,14535898,-1,prospective,0.6868879999999999,0.2903225806451613,True
2386270263,1xkk_a_fmm_91,-10.99,True,2386270263,-1,prospective,0.86624,7.81511,-10.47255,success,2386270263,0.3548387096774194,25,1.1736154838709678,O=C1NC[C@]2(CCCN(c3nc(CCc4ccccc4)nc4c3CCNC4=O)C2)O1,407.5,1.63,2,6,4,96.5,2,0.8,O=C1NCC2(CCCN(c3nc(CCc4ccccc4)nc4c3CCNC4=O)C2)O1,2386270263,-1,prospective,0.6868879999999999,0.2903225806451613,True
19636327,1m17_a_aq4_999,-8.289,True,19636327,-1,prospective,0.90723,7.65089,-8.24145,success,19636327,0.2903225806451613,23,1.1706193548387096,COCc1ccc(C(=O)NCc2nnc3n2CCN(Cc2cccc(C)n2)CC3)o1,410.5,1.71,1,7,7,98.3,4,0.633,O=C(NCc1nnc2n1CCN(Cc1ccccn1)CC2)c1ccco1,19636327,-1,prospective,0.6868879999999999,0.2903225806451613,True
12135598,4hjo_a_aq4_1001,-9.999,True,12135598,-1,prospective,0.89461,7.57853,-10.00424,success,12135598,0.3064516129032258,24,1.1687646774193547,COc1cccc(N2C(=O)CN(C(=O)Cn3cnc4ccccc4c3=O)C[C@@H]2C)c1,406.4,1.67,0,5,4,84.7,2,0.658,O=C(Cn1cnc2ccccc2c1=O)N1CCN(c2ccccc2)C(=O)C1,12135598,-1,prospective,0.6868879999999999,0.2903225806451613,True
13370172,5cav_a_4zq_1101,-7.23,True,13370172,-1,prospective,0.84987,7.13916,-7.37585,success,13370172,0.3709677419354839,28,1.1651443548387097,CCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C[C@@H](O)COc1ccccc1C,404.5,1.67,2,6,8,102.1,4,0.554,O=c1[nH]c(=O)c2c(ncn2CCCOc2ccccc2)[nH]1,13370172,-1,prospective,0.6868879999999999,0.2903225806451613,True
