md_candidate_id,molecule_id,relative_path,sha256,size_bytes
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/nvt_equilibration.mdp,8f3b58860ec914ad5f1b3909560a1169956023e12f7898df649393ede6401731,452
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/posre.itp,f35308e343b1a331341c9014f5fe5bc9f0ad54d5545d5f599e512b176b035465,77711
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/production_quick.mdp,9bf32fa4313be61699281b489578bc0aaa8d15e95fc73739b3775efbe6b8e638,613
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/production_quick_rep02.mdp,5d029eecbb58b095bd1e42524d684f78d30dbc82d361342be4498b202fadbf93,648
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/production_quick_rep03.mdp,75a9f923fa76f999a031c04a7124e96412460e528a4d651424ef2770458024a9,648
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/sqm.out,f54924037207d871238fbc7473d9f98e5c5775647ef93fea1c9b063025cebd5f,14880
mdcand_002,mol_aakjlrggtjkamg_uhfffaoysa_n,mdcand_002/topol.top,dc48a0a28f816c85591438eabd15b1dec42e169b655f6477ac7eff1f51f52395,1398887
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/acpype.log,79274c141a92cc9c109cc286f8752ff93eb265e917007b4b7394078b53b9a139,3102
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/complex.gro,fb8978262af033834056b2d0b47eadf763e8a475ff4cd588dc706cac15dfe481,228165
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ions.mdp,f629502b5c5973bc5cdb7e8639ef19f38f303cfc3c33eb2f5530508dd7007a3e,148
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ligand_AC.frcmod,8f07ea441023e85a8c6e35d954409d95cc2ca2b490e56c5b0914b9a24c5c3ffd,1410
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ligand_AC.prmtop,b4c1c16e402724bacb80e840edb7b8db7242f1514114fb336c59f5ce6e8a682f,24497
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ligand_GMX.gro,1c0ad687095d83d86508091240c9052e406b15fa057df08ce58bba10bd0f3249,1942
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ligand_GMX.itp,e9404a83ee09c92a1a25a9a856ef637fe0e678a82aaeec07f9eeff9a04a4dbaf,27752
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/ligand_gaff2_am1bcc.mol2,0f25dae762f0a15a79ffc982f5f28dc7250583cbaabd32167a4ee46da98a1675,4194
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/minimization.mdp,42637e3e05672065d39b9d8f08500d094cec3a7af513416d6e85be62d390737d,185
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/npt_equilibration.mdp,428887bb4f7470043d96ef2942f140341466a2ff39cede313d4076dec024e54c,828
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/nvt_equilibration.mdp,8f3b58860ec914ad5f1b3909560a1169956023e12f7898df649393ede6401731,452
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/posre.itp,f35308e343b1a331341c9014f5fe5bc9f0ad54d5545d5f599e512b176b035465,77711
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/production_quick.mdp,9bf32fa4313be61699281b489578bc0aaa8d15e95fc73739b3775efbe6b8e638,613
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/production_quick_rep02.mdp,5d029eecbb58b095bd1e42524d684f78d30dbc82d361342be4498b202fadbf93,648
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/production_quick_rep03.mdp,75a9f923fa76f999a031c04a7124e96412460e528a4d651424ef2770458024a9,648
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/sqm.out,3c415a6af3caf5df5eb4761583abdbd46dcaba4cf1cea35f859ac4eeb3b32df4,5657
mdcand_003,mol_aaalvybiclmama_uhfffaoysa_n,mdcand_003/topol.top,edae4812591f605112c10b58711c2a5105167e516580ea8ac238a4dfa96d6851,1398887
mdcand_004,analog_e1bd229bfc1e,mdcand_004/acpype.log,032d874ab9032874ec6e2ee64cdbb37239cee0c8dd4384493498e2b0f85ad185,2983
mdcand_004,analog_e1bd229bfc1e,mdcand_004/complex.gro,fa7dcff6c94cadd04ce01bdf79e601e69139e3283c4c9d40a0527ecff5f2b466,228840
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ions.mdp,f629502b5c5973bc5cdb7e8639ef19f38f303cfc3c33eb2f5530508dd7007a3e,148
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ligand_AC.frcmod,dd425fafb173922e86dcaa42d9bf11fb126925c94803ab2fbb0521fc8036fa5a,1313
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ligand_AC.prmtop,d90e22fd455327e7e1afcafb23f33be217e23796d40144145a2153595c7ed86f,32378
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ligand_GMX.gro,1f6135888566eac1cb1f4cf653f475f3dbf376c3a532b9e8728cd24b874f7344,2605
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ligand_GMX.itp,b09796838ec58a7df95db88eca039fee0dd7f2e7a5e448568e5b56a2871f68ca,34724
mdcand_004,analog_e1bd229bfc1e,mdcand_004/ligand_gaff2_am1bcc.mol2,6b528a789b3cce6e734269bd6b58f6cd9ffed92897e2936369f1d2f493a739e9,5699
mdcand_004,analog_e1bd229bfc1e,mdcand_004/minimization.mdp,42637e3e05672065d39b9d8f08500d094cec3a7af513416d6e85be62d390737d,185
mdcand_004,analog_e1bd229bfc1e,mdcand_004/npt_equilibration.mdp,428887bb4f7470043d96ef2942f140341466a2ff39cede313d4076dec024e54c,828
mdcand_004,analog_e1bd229bfc1e,mdcand_004/nvt_equilibration.mdp,8f3b58860ec914ad5f1b3909560a1169956023e12f7898df649393ede6401731,452
mdcand_004,analog_e1bd229bfc1e,mdcand_004/posre.itp,f35308e343b1a331341c9014f5fe5bc9f0ad54d5545d5f599e512b176b035465,77711
mdcand_004,analog_e1bd229bfc1e,mdcand_004/production_quick.mdp,9bf32fa4313be61699281b489578bc0aaa8d15e95fc73739b3775efbe6b8e638,613
mdcand_004,analog_e1bd229bfc1e,mdcand_004/production_quick_rep02.mdp,5d029eecbb58b095bd1e42524d684f78d30dbc82d361342be4498b202fadbf93,648
mdcand_004,analog_e1bd229bfc1e,mdcand_004/production_quick_rep03.mdp,75a9f923fa76f999a031c04a7124e96412460e528a4d651424ef2770458024a9,648
mdcand_004,analog_e1bd229bfc1e,mdcand_004/sqm.out,ee0e7b56e093ad21ac96e9b525af02e380f50ec1d3bd1cb7fd4ecc719772ed08,17186
mdcand_004,analog_e1bd229bfc1e,mdcand_004/topol.top,6f9ac06f609be1eb8d1aef45202e559955efec062304e3942b4693038c5c45f0,1398876
mdcand_005,analog_0367d4e7eae4,mdcand_005/acpype.log,694256c0cc059b71e24ea556aef2dc71410b243e6a67fffdd1214f389f600d81,2982
mdcand_005,analog_0367d4e7eae4,mdcand_005/complex.gro,e4f7b20d90f00a3b5ee87f21245cff3bac70a5be501fd972513e9f8985edbda7,228705
mdcand_005,analog_0367d4e7eae4,mdcand_005/ions.mdp,f629502b5c5973bc5cdb7e8639ef19f38f303cfc3c33eb2f5530508dd7007a3e,148
mdcand_005,analog_0367d4e7eae4,mdcand_005/ligand_AC.frcmod,386d599fd5c295ed1874dd368f014f8a98a831c778eeafc1dda11ecb04d48e1a,1383
mdcand_005,analog_0367d4e7eae4,mdcand_005/ligand_AC.prmtop,d681aad9b7f6dd1db026d662c826ac50bce3990adeaaf6e2ff7d3bbd71cf5a6a,31147
mdcand_005,analog_0367d4e7eae4,mdcand_005/ligand_GMX.gro,0f4039b793ac89917583f73fe00a8fb54d8d60f5ea8604f763ba0d51a2bbe184,2470
mdcand_005,analog_0367d4e7eae4,mdcand_005/ligand_GMX.itp,b6eac5437a770cd97c96397dd57121a3f268447312f4b94e3e4a438a1057f29c,33045
mdcand_005,analog_0367d4e7eae4,mdcand_005/ligand_gaff2_am1bcc.mol2,d279bf49ebe451079056f5689bcd77a19b556a753c6b879882929c0ee0081227,5396
mdcand_005,analog_0367d4e7eae4,mdcand_005/minimization.mdp,42637e3e05672065d39b9d8f08500d094cec3a7af513416d6e85be62d390737d,185
mdcand_005,analog_0367d4e7eae4,mdcand_005/npt_equilibration.mdp,428887bb4f7470043d96ef2942f140341466a2ff39cede313d4076dec024e54c,828
mdcand_005,analog_0367d4e7eae4,mdcand_005/nvt_equilibration.mdp,8f3b58860ec914ad5f1b3909560a1169956023e12f7898df649393ede6401731,452
mdcand_005,analog_0367d4e7eae4,mdcand_005/posre.itp,f35308e343b1a331341c9014f5fe5bc9f0ad54d5545d5f599e512b176b035465,77711
mdcand_005,analog_0367d4e7eae4,mdcand_005/production_quick.mdp,9bf32fa4313be61699281b489578bc0aaa8d15e95fc73739b3775efbe6b8e638,613
mdcand_005,analog_0367d4e7eae4,mdcand_005/production_quick_rep02.mdp,5d029eecbb58b095bd1e42524d684f78d30dbc82d361342be4498b202fadbf93,648
mdcand_005,analog_0367d4e7eae4,mdcand_005/production_quick_rep03.mdp,75a9f923fa76f999a031c04a7124e96412460e528a4d651424ef2770458024a9,648
mdcand_005,analog_0367d4e7eae4,mdcand_005/sqm.out,078d3e027f3cdaab3206f11794716842a12e9125fbef548427246f80830ec2e1,14948
mdcand_005,analog_0367d4e7eae4,mdcand_005/topol.top,ea2144b9b4f25cba7d270f1c7b14ad05c56ea9bbc44f7304bdd166af5cab9abf,1398876
mdcand_006,analog_2939c889a4f4,mdcand_006/acpype.log,089bc00bba41654bb0629e2c6ec60d7ff2fbb77384c18f20290a9ec65eb407eb,3053
mdcand_006,analog_2939c889a4f4,mdcand_006/complex.gro,f1c0e5b9797e2565e8eb8df2606cfd583e9744da00b838e7d49ae8f0f4a55ca6,228705
mdcand_006,analog_2939c889a4f4,mdcand_006/ions.mdp,f629502b5c5973bc5cdb7e8639ef19f38f303cfc3c33eb2f5530508dd7007a3e,148
mdcand_006,analog_2939c889a4f4,mdcand_006/ligand_AC.frcmod,847f33825cbe5139def218a611dbed3c45a1968be286874cc0b44c4649a3954d,1383
mdcand_006,analog_2939c889a4f4,mdcand_006/ligand_AC.prmtop,3cf3621f313b5a3e825b47c08fb855edebdd226897f3f02fe150000164d90290,31147
mdcand_006,analog_2939c889a4f4,mdcand_006/ligand_GMX.gro,4a324d30a8266b2f82e96eeaad256327cb6a7e6f5b50509e73ec2e40693533df,2470
mdcand_006,analog_2939c889a4f4,mdcand_006/ligand_GMX.itp,a350d7572a7b56cbab2fbd408ff89e1d0c19e8040f7df075b022a4807e6bf0f9,33045
mdcand_006,analog_2939c889a4f4,mdcand_006/ligand_gaff2_am1bcc.mol2,87079005c2cf80864f2bd2879cad5aeb27b08240dd8c13f217b2fc5f2630a7cc,5396
mdcand_006,analog_2939c889a4f4,mdcand_006/minimization.mdp,42637e3e05672065d39b9d8f08500d094cec3a7af513416d6e85be62d390737d,185
mdcand_006,analog_2939c889a4f4,mdcand_006/npt_equilibration.mdp,428887bb4f7470043d96ef2942f140341466a2ff39cede313d4076dec024e54c,828
mdcand_006,analog_2939c889a4f4,mdcand_006/nvt_equilibration.mdp,8f3b58860ec914ad5f1b3909560a1169956023e12f7898df649393ede6401731,452
mdcand_006,analog_2939c889a4f4,mdcand_006/posre.itp,f35308e343b1a331341c9014f5fe5bc9f0ad54d5545d5f599e512b176b035465,77711
mdcand_006,analog_2939c889a4f4,mdcand_006/production_quick.mdp,9bf32fa4313be61699281b489578bc0aaa8d15e95fc73739b3775efbe6b8e638,613
mdcand_006,analog_2939c889a4f4,mdcand_006/production_quick_rep02.mdp,5d029eecbb58b095bd1e42524d684f78d30dbc82d361342be4498b202fadbf93,648
