target,coverage_scope,group,n_molecules,median,iqr_q1,iqr_q3,p95,maximum,percent_gt_zero
EGFR,all_available,all_molecules,35552,0.004145887096774201,0.0,0.017215967741935477,0.051054677419354884,0.16694451612903216,56.691606660666075
EGFR,all_available,actives,542,0.0034087096774193526,0.0,0.024755201612903135,0.06509584677419364,0.11388193548387104,52.2140221402214
EGFR,all_available,coupled_top1,356,0.0,0.0,0.013269193548387126,0.06161758064516132,0.133006935483871,28.370786516853936
EGFR,all_available,rescued_actives,30,0.0,0.0,0.0,0.03779821774193536,0.05839870967741945,16.666666666666664
EGFR,all_available,pose_nonrealizable_only,20155,0.014643548387096805,0.007361451612903219,0.028856048387096822,0.062228419354838825,0.16694451612903216,100.0
CDK2,all_available,all_molecules,28296,0.008838289473684174,0.0,0.028695526315789532,0.08312828947368425,0.2949099999999998,62.02290076335878
CDK2,all_available,actives,474,0.020412631578947238,0.0,0.06691388157894734,0.14720423684210526,0.2805178947368423,62.869198312236286
CDK2,all_available,coupled_top1,283,0.0,0.0,0.024148157894736677,0.0978050526315791,0.1696413157894736,30.03533568904594
CDK2,all_available,rescued_actives,34,0.0,0.0,0.024922171052631614,0.142495447368421,0.1696413157894736,44.11764705882353
CDK2,all_available,pose_nonrealizable_only,17550,0.022341710526315728,0.011046118421052617,0.04490684210526309,0.09998351315789483,0.2949099999999998,100.0
CDK2,complete_four_receptor,all_molecules,27926,0.008985394736842095,0.0,0.028978026315789468,0.0834211842105263,0.2949099999999998,62.1463868796104
CDK2,complete_four_receptor,actives,474,0.020412631578947238,0.0,0.06691388157894734,0.14720423684210526,0.2805178947368423,62.869198312236286
CDK2,complete_four_receptor,coupled_top1,279,0.0,0.0,0.02412763157894715,0.0978234736842107,0.1696413157894736,29.749103942652326
CDK2,complete_four_receptor,rescued_actives,34,0.0,0.0,0.024922171052631614,0.142495447368421,0.1696413157894736,44.11764705882353
CDK2,complete_four_receptor,pose_nonrealizable_only,17355,0.022507894736842116,0.01114894736842105,0.045067894736842085,0.1004656578947368,0.2949099999999998,100.0
